Nom de la classe,NBAC
CombinedRangeXYPlot.java,3
ComparableObjectItem.java,0
ComparableObjectSeries.java,0
CompassFormat.java,0
CompassPlot.java,7
CompositeTitle.java,1
Crosshair.java,0
CrosshairLabelGenerator.java,0
CrosshairOverlay.java,1
CrosshairState.java,0
CSV.java,0
CustomCategoryURLGenerator.java,1
CustomPieURLGenerator.java,1
CustomXYToolTipGenerator.java,1
CustomXYURLGenerator.java,1
CyclicNumberAxis.java,5
CyclicXYItemRenderer.java,0
DataPackageResources.java,0
DataPackageResources_de.java,0
DataPackageResources_es.java,0
DataPackageResources_fr.java,0
DataPackageResources_pl.java,0
DataPackageResources_ru.java,0
Dataset.java,0
DatasetChangeEvent.java,0
DatasetChangeListener.java,0
DatasetReader.java,0
DatasetRenderingOrder.java,0
DatasetTags.java,0
DatasetUtils.java,2
DataUtils.java,2
DateAxis.java,7
DateRange.java,0
DateTick.java,0
DateTickMarkPosition.java,0
DateTickUnit.java,0
DateTickUnitType.java,0
DateTitle.java,0
Day.java,1
DefaultAxisEditor.java,0
DefaultBoxAndWhiskerCategoryDataset.java,0
DefaultBoxAndWhiskerXYDataset.java,0
DefaultCategoryDataset.java,0
DefaultCategoryItemRenderer.java,0
DefaultChartEditor.java,0
DefaultChartEditorFactory.java,0
DefaultDrawingSupplier.java,1
DefaultFlowDataset.java,0
DefaultHeatMapDataset.java,1
DefaultHighLowDataset.java,1
DefaultIntervalCategoryDataset.java,1
DefaultIntervalXYDataset.java,0
DefaultKeyedValue.java,1
DefaultKeyedValueDataset.java,0
DefaultKeyedValues.java,0
DefaultKeyedValues2D.java,0
DefaultKeyedValues2DDataset.java,0
DefaultKeyedValuesDataset.java,0
DefaultLogAxisEditor.java,0
DefaultMultiValueCategoryDataset.java,0
DefaultNumberAxisEditor.java,0
DefaultOHLCDataset.java,1
DefaultPieDataset.java,0
DefaultPlotEditor.java,0
DefaultPolarItemRenderer.java,1
DefaultPolarPlotEditor.java,0
DefaultSelectionZoomStrategy.java,0
DefaultShadowGenerator.java,0
DefaultStatisticalCategoryDataset.java,0
DefaultTableXYDataset.java,0
DefaultTitleEditor.java,0
DefaultValueAxisEditor.java,0
DefaultValueDataset.java,0
DefaultWindDataset.java,2
DefaultXYDataset.java,0
DefaultXYItemRenderer.java,0
DefaultXYZDataset.java,0
DeviationRenderer.java,1
DeviationStepRenderer.java,1
DialBackground.java,0
DialCap.java,0
DialFrame.java,0
DialLayer.java,0
DialLayerChangeEvent.java,0
DialLayerChangeListener.java,0
DialPlot.java,0
DialPointer.java,0
DialScale.java,0
DialShape.java,0
DialTextAnnotation.java,0
DialValueIndicator.java,0
DirectionalGradientPaintTransformer.java,0
DomainInfo.java,0
DomainOrder.java,0
Drawable.java,0
DrawingSupplier.java,0
DynamicDriveToolTipTagFragmentGenerator.java,0
DynamicTimeSeriesCollection.java,0
EmptyBlock.java,0
EncoderUtil.java,0
EntityBlockParams.java,0
EntityBlockResult.java,0
EntityCollection.java,0
ExportUtils.java,0
ExtendedCategoryAxis.java,1
FastScatterPlot.java,1
FixedMillisecond.java,0
FlowArrangement.java,1
FlowDataset.java,0
FlowDatasetUtils.java,0
FlowEntity.java,0
FlowKey.java,0
FlowLabelGenerator.java,0
FlowPlot.java,0
FontChooserPanel.java,0
FontDisplayField.java,0
Function2D.java,0
G2TextMeasurer.java,0
GanttCategoryDataset.java,0
GanttRenderer.java,1
GradientBarPainter.java,0
GradientPaintTransformer.java,0
GradientPaintTransformType.java,0
GradientXYBarPainter.java,0
GrayPaintScale.java,0
GridArrangement.java,1
GroupedStackedBarRenderer.java,1
HashUtils.java,0
HeatMapDataset.java,0
HeatMapUtils.java,0
HexNumberFormat.java,0
HighLowItemLabelGenerator.java,0
HighLowRenderer.java,1
HistogramBin.java,0
HistogramDataset.java,0
HistogramType.java,0
HMSNumberFormat.java,0
HorizontalAlignment.java,0
Hour.java,0
ImageEncoder.java,0
ImageEncoderFactory.java,0
ImageFormat.java,0
ImageMapUtils.java,0
ImageTitle.java,0
IntervalBarRenderer.java,1
IntervalCategoryDataset.java,0
IntervalCategoryItemLabelGenerator.java,0
IntervalCategoryToolTipGenerator.java,0
IntervalMarker.java,1
IntervalXYDataset.java,0
IntervalXYDelegate.java,0
IntervalXYItemLabelGenerator.java,0
IntervalXYToolTipGenerator.java,0
IntervalXYZDataset.java,0
ItemHandler.java,0
ItemKey.java,0
ItemLabelAnchor.java,0
ItemLabelPosition.java,0
JFreeChart.java,0
JFreeChartEntity.java,0
JSONArray.java,0
JSONAware.java,0
JSONObject.java,0
JSONStreamAware.java,0
JSONUtils.java,0
JSONValue.java,0
KeyedObject.java,0
KeyedObjects.java,0
KeyedObjects2D.java,0
KeyedValue.java,0
KeyedValueComparator.java,0
KeyedValueComparatorType.java,0
KeyedValueDataset.java,0
KeyedValues.java,0
KeyedValues2D.java,0
KeyedValues2DDataset.java,0
KeyedValues2DItemKey.java,0
KeyedValuesDataset.java,0
KeyedValuesItemKey.java,0
KeyHandler.java,0
KeyToGroupMap.java,0
LabelBlock.java,1
Layer.java,0
LayeredBarRenderer.java,0
LCBLayout.java,0
LegendGraphic.java,0
LegendItem.java,0
LegendItemBlockContainer.java,0
LegendItemCollection.java,0
LegendItemEntity.java,1
LegendItemSource.java,0
LegendRenderingOrder.java,0
LegendTitle.java,1
LengthAdjustmentType.java,0
LengthConstraintType.java,0
LevelRenderer.java,0
LineAndShapeRenderer.java,1
LineBorder.java,1
LineFunction2D.java,0
LineNeedle.java,0
LineUtils.java,0
LogarithmicAxis.java,4
LogAxis.java,2
LogFormat.java,1
LogTick.java,0
LongNeedle.java,0
LookupPaintScale.java,2
Marker.java,0
MarkerAxisBand.java,0
MarkerChangeEvent.java,0
MarkerChangeListener.java,0
MatrixSeries.java,1
MatrixSeriesCollection.java,0
MeanAndStandardDeviation.java,0
MeterInterval.java,1
MeterNeedle.java,0
MeterPlot.java,1
MiddlePinNeedle.java,5
Millisecond.java,0
MinMaxCategoryRenderer.java,1
Minute.java,0
module-info.java,0
ModuloAxis.java,1
Month.java,0
MonthConstants.java,0
MonthDateFormat.java,1
MouseWheelHandler.java,0
MovingAverage.java,0
MultiplePiePlot.java,1
MultipleXYSeriesLabelGenerator.java,0
MultiValueCategoryDataset.java,0
NodeEntity.java,0
NodeKey.java,0
NormalDistributionFunction2D.java,0
NormalizedMatrixSeries.java,0
NotOutlierException.java,0
NumberAxis.java,2
NumberCellRenderer.java,0
NumberTick.java,0
NumberTickUnit.java,0
NumberTickUnitSource.java,1
OHLC.java,0
OHLCDataItem.java,1
OHLCDataset.java,0
OHLCItem.java,0
OHLCSeries.java,0
OHLCSeriesCollection.java,0
Outlier.java,1
OutlierList.java,0
OutlierListCollection.java,0
Overlay.java,0
OverlayChangeEvent.java,0
OverlayChangeListener.java,0
OverLIBToolTipTagFragmentGenerator.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package-info.java,0
package.html,2
package.html,2
package.html,2
package.html,2
package.html,2
package.html,2
package.html,2
package.html,2
package.html,2
package.html,2
package.html,2
package.html,2
package.html,2
PaintAlpha.java,0
PaintSample.java,0
PaintScale.java,0
PaintScaleLegend.java,1
PaintUtils.java,3
Pannable.java,0
PeriodAxis.java,5
PeriodAxisLabelInfo.java,0
PieDataset.java,0
PieDatasetHandler.java,0
PieLabelDistributor.java,0
PieLabelLinkStyle.java,0
PieLabelRecord.java,1
PiePlot.java,0
PiePlotState.java,0
PieSectionEntity.java,0
PieSectionLabelGenerator.java,0
PieToolTipGenerator.java,0
PieURLGenerator.java,0
PinNeedle.java,5
Plot.java,1
PlotChangeEvent.java,0
PlotChangeListener.java,0
PlotEntity.java,0
PlotOrientation.java,0
PlotRenderingInfo.java,0
PlotState.java,0
PlumNeedle.java,0
PointerNeedle.java,0
PolarAxisLocation.java,0
PolarChartPanel.java,0
PolarItemRenderer.java,0
PolarPlot.java,2
PolynomialFunction2D.java,0
pom.xml,0
PowerFunction2D.java,0
PublicCloneable.java,0
Quarter.java,0
QuarterDateFormat.java,1
Range.java,0
RangeInfo.java,0
RangeType.java,0
RectangleAlignment.java,0
RectangleAnchor.java,0
RectangleConstraint.java,0
RectangleEdge.java,0
RectangleInsets.java,0
Regression.java,6
RegularTimePeriod.java,1
RelativeDateFormat.java,0
RendererChangeEvent.java,0
RendererChangeListener.java,0
RendererState.java,0
RendererUtils.java,0
RingPlot.java,1
RootHandler.java,0
Rotation.java,0
SamplingXYLineRenderer.java,1
ScatterRenderer.java,1
Second.java,0
SelectionZoomStrategy.java,0
SerialDate.java,0
SerialUtils.java,11
Series.java,0
SeriesChangeEvent.java,0
SeriesChangeListener.java,0
SeriesDataset.java,0
SeriesException.java,0
SeriesRenderingOrder.java,0
ShadowGenerator.java,0
ShapeUtils.java,5
ShipNeedle.java,0
ShortTextTitle.java,0
SimpleHistogramBin.java,0
SimpleHistogramDataset.java,0
SimpleTimePeriod.java,0
Size2D.java,0
SlidingCategoryDataset.java,0
SlidingGanttCategoryDataset.java,1
SortOrder.java,0
SpiderWebPlot.java,1
SpreadsheetDate.java,0
StackedAreaRenderer.java,2
StackedBarRenderer.java,1
StackedXYAreaRenderer.java,1
StackedXYAreaRenderer2.java,1
StackedXYBarRenderer.java,0
StandardBarPainter.java,0
StandardCategoryItemLabelGenerator.java,0
StandardCategorySeriesLabelGenerator.java,0
StandardCategoryToolTipGenerator.java,0
StandardCategoryURLGenerator.java,0
StandardChartTheme.java,0
StandardCrosshairLabelGenerator.java,0
StandardDialFrame.java,0
StandardDialRange.java,0
StandardDialScale.java,0
StandardEntityCollection.java,0
StandardFlowLabelGenerator.java,0
StandardGradientPaintTransformer.java,0
StandardPieSectionLabelGenerator.java,0
StandardPieToolTipGenerator.java,0
StandardPieURLGenerator.java,1
StandardTickUnitSource.java,0
StandardToolTipTagFragmentGenerator.java,0
StandardURLTagFragmentGenerator.java,0
StandardXYBarPainter.java,0
StandardXYItemLabelGenerator.java,0
StandardXYItemRenderer.java,1
StandardXYSeriesLabelGenerator.java,0
StandardXYToolTipGenerator.java,0
StandardXYURLGenerator.java,1
StandardXYZToolTipGenerator.java,0
StandardXYZURLGenerator.java,0
StatisticalBarRenderer.java,1
StatisticalCategoryDataset.java,0
StatisticalLineAndShapeRenderer.java,0
Statistics.java,3
StringUtils.java,0
StrokeChooserPanel.java,0
StrokeSample.java,0
SubCategoryAxis.java,0
SunJPEGEncoderAdapter.java,0
SunPNGEncoderAdapter.java,0
SymbolAxis.java,2
SymbolicXYItemLabelGenerator.java,0
TableOrder.java,0
TableXYDataset.java,0
Task.java,0
TaskSeries.java,0
TaskSeriesCollection.java,0
TextAnchor.java,0
TextAnnotation.java,0
TextBlock.java,0
TextBlockAnchor.java,0
TextBox.java,0
TextFragment.java,0
TextLine.java,0
TextMeasurer.java,0
TextTitle.java,0
TextUtils.java,0
ThermometerPlot.java,23
Tick.java,1
TickLabelEntity.java,0
TickType.java,0
TickUnit.java,0
TickUnits.java,1
TickUnitSource.java,0
Timeline.java,0
TimePeriod.java,0
TimePeriodAnchor.java,0
TimePeriodFormatException.java,0
TimePeriodValue.java,0
TimePeriodValues.java,0
TimePeriodValuesCollection.java,0
TimeSeries.java,0
TimeSeriesCollection.java,0
TimeSeriesDataItem.java,0
TimeSeriesTableModel.java,0
TimeSeriesURLGenerator.java,1
TimeTableXYDataset.java,0
Title.java,0
TitleChangeEvent.java,0
TitleChangeListener.java,0
TitleEntity.java,0
ToolTipTagFragmentGenerator.java,0
UIUtils.java,0
UnitType.java,0
UnknownKeyException.java,0
URLTagFragmentGenerator.java,0
Value.java,0
ValueAxis.java,1
ValueAxisPlot.java,0
ValueDataset.java,0
ValueHandler.java,0
ValueMarker.java,1
Values.java,0
Values2D.java,0
ValueTick.java,1
Vector.java,0
VectorDataItem.java,0
VectorRenderer.java,1
VectorSeries.java,0
VectorSeriesCollection.java,1
VectorXYDataset.java,0
VerticalAlignment.java,0
WaferMapDataset.java,0
WaferMapPlot.java,1
WaferMapRenderer.java,0
WaterfallBarRenderer.java,1
Week.java,0
WindDataset.java,0
WindItemRenderer.java,0
WindNeedle.java,0
XIntervalDataItem.java,0
XIntervalSeries.java,0
XIntervalSeriesCollection.java,1
XisSymbolic.java,0
XYAnnotation.java,0
XYAnnotationBoundsInfo.java,0
XYAnnotationEntity.java,1
XYAreaRenderer.java,0
XYAreaRenderer2.java,1
XYBarDataset.java,1
XYBarPainter.java,0
XYBarRenderer.java,3
XYBlockRenderer.java,1
XYBoxAndWhiskerRenderer.java,1
XYBoxAnnotation.java,0
XYBubbleRenderer.java,1
XYCoordinate.java,0
XYCoordinateType.java,0
XYCrosshairState.java,0
XYDataImageAnnotation.java,0
XYDataItem.java,0
XYDataset.java,0
XYDatasetTableModel.java,0
XYDifferenceRenderer.java,2
XYDomainInfo.java,0
XYDotRenderer.java,1
XYDrawableAnnotation.java,0
XYErrorRenderer.java,1
XYImageAnnotation.java,0
XYInterval.java,1
XYIntervalDataItem.java,0
XYIntervalSeries.java,0
XYIntervalSeriesCollection.java,1
XYItemEntity.java,1
XYItemKey.java,0
XYItemLabelGenerator.java,0
XYItemRenderer.java,0
XYItemRendererState.java,0
XYLineAndShapeRenderer.java,0
XYLineAnnotation.java,0
XYPlot.java,0
XYPointerAnnotation.java,0
XYPolygonAnnotation.java,0
XYRangeInfo.java,0
XYSeries.java,0
XYSeriesCollection.java,0
XYSeriesLabelGenerator.java,0
XYShapeAnnotation.java,0
XYShapeRenderer.java,1
XYSplineRenderer.java,1
XYStepAreaRenderer.java,1
XYStepRenderer.java,0
XYTaskDataset.java,0
XYTextAnnotation.java,0
XYTitleAnnotation.java,0
XYToolTipGenerator.java,0
XYURLGenerator.java,0
XYZDataset.java,0
XYZToolTipGenerator.java,0
XYZURLGenerator.java,0
Year.java,0
YInterval.java,1
YIntervalDataItem.java,0
YIntervalRenderer.java,1
YIntervalSeries.java,0
YIntervalSeriesCollection.java,1
YisSymbolic.java,0
YWithXInterval.java,1
Zoomable.java,0
